Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.89-192.168.137.233-51817-80-6,192.168.137.89,0.7947270747381174,192.168.137.233,0.0012628056384271758,0.3529411764705882,17/10/2022 10:22:17 AM,0.060797480430809556,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.649904131957255e-07,0.04761813909875651,0.03214880704861027,0.047670787604968595,0.020319483949303378,0.060797488578398416,0.04715763604009222,0.03214880704861027,0.04767079893295389,0.020122971121831403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008845643520566122,0.0,2.651971365551563e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.22278171969176777,0.0,0.0,0.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dictionary
192.168.137.150-192.168.137.1-53083-53-17,192.168.137.150,0.8141439548473183,192.168.137.1,0.0008366087354580039,1.0,17/10/2022 10:37:20 AM,0.0001646342931289386,0.0,0.002008032128514056,5.888940471645242e-05,0.00015546303493659024,0.005919494869771113,0.08915304606240712,0.033272513664795667,0.0,0.03408029878618114,0.2857142857142857,0.05721039685666516,0.0,2.7665510370694115e-05,5.266943266468056e-05,0.00038683745702782743,0.0,0.00022574389679642787,0.00038685783261039285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004422821760283061,0.0005017561465127947,2.6324731316277715e-05,0.0012118657463512303,0.08915304606240712,0.014404104183109707,0.056311328221407136,0.03305330030535016,0.001092520661075661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08432550658281066,0.03327251366479562,0.057210396856665215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dictionary
192.168.137.140-54.191.3.239-23453-32100-17,192.168.137.140,0.3597030720387724,54.191.3.239,0.5067007624189043,1.0,17/10/2022 10:25:27 AM,0.0008652365772150493,0.0,0.002008032128514056,3.9259603144301615e-06,2.129630615569729e-05,0.0003946329913180742,0.005943536404160475,0.0022181675776530444,0.0,0.004668534080298786,0.03913894324853229,0.007837040665296597,0.0,6.133193541951639e-07,1.0005684512514447e-05,0.0020330267218093834,0.0,0.001186398488912368,0.0020330470638369033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004422821760283061,0.0005017561465127947,4.9928572446044575e-06,0.00023059955885301788,0.005943536404160475,0.001973164956590371,0.005927508233832329,0.00614945121960003,3.78157503022403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.008876369113980069,0.0022181675776530413,0.007837040665296604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dictionary
192.168.137.1-192.168.137.173-53-58648-17,192.168.137.1,0.0008128709682366835,192.168.137.173,0.9257628135309625,1.0,17/10/2022 10:34:52 AM,0.00011005982068325661,0.0,0.002008032128514056,5.10374840875921e-05,3.8333351080255126e-05,0.005130228887134964,0.07726597325408618,0.028836178509489576,0.0,0.008403361344537815,0.07045009784735812,0.014106673197533875,0.0,1.7678047400737763e-05,7.879424613340157e-05,0.0002586050594009931,0.0,0.00015091225727981243,0.00025862543759737946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004422821760283061,0.0005017561465127947,3.9387138047937916e-05,0.001812736443883985,0.05349182763744428,0.005130228887134964,0.029637541169161643,0.00614945121960003,3.78157503022403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.044381845569900345,0.028836178509489538,0.014106673197533889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dictionary
192.168.137.147-114.114.114.114-43761-53-17,192.168.137.147,0.6711706875661416,114.114.114.114,0.0008366087354580039,1.0,17/10/2022 10:48:21 AM,0.08713481200282717,0.0017730496453900709,0.004016064257028112,5.300046424480718e-05,0.00012564820631861404,0.002663772691397001,0.040118870728083206,0.014972631149158049,0.0,0.01377217553688142,0.11545988258317025,0.02311926996262496,0.0,4.364669442321863e-08,1.7873343264059728e-07,0.06824621557983884,0.12047309633076218,0.11871159971774518,0.0005041239220254089,0.08692026963727607,0.2022593960329005,0.0,0.11918367639216675,0.2022593960329005,0.09116326729738998,0.201928445909268,0.0,0.16610793259594217,0.201928445909268,0.0,0.0,0.0,0.0,0.0008845643520566122,0.0010035122930255895,7.938170568326388e-08,4.579688622988185e-06,0.040118870728083206,0.005820836621941594,0.02527658868284215,0.011667763328421822,0.00013613670108806507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.03154281167289346,0.01497263114915803,0.023119269962624985,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.007550335570469798,0.06060606060606061,0.02075272599366866,0.0,0.0,0.0017953321364452424,0.18181818181818182,0.0034036279406813095,0.0,0.0026441789086922105,0.003857454395025258,0.11871161020069784,0.0,0.11871161020069784,0.11871161020069784,dictionary
192.168.137.1-192.168.137.173-53-51696-17,192.168.137.1,0.0008128709682366835,192.168.137.173,0.816025003551641,1.0,17/10/2022 10:27:32 AM,0.00012184915593260994,0.0,0.002008032128514056,5.10374840875921e-05,3.8333351080255126e-05,0.005130228887134964,0.07726597325408618,0.028836178509489576,0.0,0.008403361344537815,0.07045009784735812,0.014106673197533875,0.0,1.5967755778497953e-05,7.11691958288241e-05,0.00028630619250779134,0.0,0.00016707760429985382,0.0002863265701395326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004422821760283061,0.0005017561465127947,3.557461289643732e-05,0.0016373602904534775,0.05349182763744428,0.005130228887134964,0.029637541169161643,0.00614945121960003,3.78157503022403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.044381845569900345,0.028836178509489538,0.014106673197533889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dictionary
192.168.137.173-47.112.162.49-17681-32100-17,192.168.137.173,0.2711768224413736,47.112.162.49,0.5067007624189043,1.0,17/10/2022 10:40:07 AM,0.0021859023753688775,0.0,0.002008032128514056,3.9259603144301615e-06,2.129630615569729e-05,0.0003946329913180742,0.005943536404160475,0.0022181675776530444,0.0,0.004668534080298786,0.03913894324853229,0.007837040665296597,0.0,2.4276910042712326e-07,3.948217046195252e-06,0.005136165133812882,0.0,0.0029972742060845985,0.00513618541258768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004422821760283061,0.0005017561465127947,1.9641235120709713e-06,9.127780996753686e-05,0.005943536404160475,0.001973164956590371,0.005927508233832329,0.00614945121960003,3.78157503022403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.008876369113980069,0.0022181675776530413,0.007837040665296604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dictionary
35.175.71.102-192.168.137.206-443-47985-6,35.175.71.102,0.0067943743194122785,192.168.137.206,0.7574466069991003,0.3529411764705882,17/10/2022 10:50:18 AM,0.2606103605181322,0.008865248226950354,0.008032128514056224,0.00013544563084784056,9.796300831620754e-05,0.004538279400157853,0.0,0.012754463571505005,0.011682705641870175,0.010737628384687208,0.0,0.009012596765091087,0.013426736719206071,1.9514202053818832e-08,1.4605288182529235e-07,0.06803889759093114,0.14180052429802822,0.21498674453439384,0.0,0.2606103669323428,0.12128562333185167,0.17781015384571078,0.2151828553495623,0.0,0.10838351444677725,0.08002387834209412,0.2604422267901655,0.1961858648125047,0.0,1.0,0.0,0.0,0.0,0.010614772224679346,0.008028098344204716,7.968506526505354e-08,3.0624287756459676e-06,0.0,0.004538279400157853,0.015934989667575228,0.015991865261118902,0.00025573975452978143,0.0,0.0,0.0,0.026595744680851064,0.009416195856873822,0.0,0.0,0.0,0.0,0.017499127681846423,0.012754463571504988,0.009012596765091096,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.00964765100671141,0.06060606060606061,0.00809004572634541,0.12031738765545129,0.13073683512402173,0.003590664272890485,0.7272727272727273,0.00406220927809228,0.0061756821637192925,0.005212668978996214,0.001603206490740982,0.1776640429123227,0.1291030712127541,0.21498675387215072,0.1403413319524947,dictionary
192.168.137.163-47.254.83.84-57921-7788-17,192.168.137.163,0.8883452707780555,47.254.83.84,0.12293412890088555,1.0,14/10/2022 01:18:54 PM,0.0024882263882018162,0.0,0.002008032128514056,6.281536503088258e-05,1.7037044924557834e-05,0.006314127861089187,0.0950965824665676,0.03549068124244871,0.0,0.003734827264239029,0.03131115459882583,0.0062696325322372775,0.0,7.109077262032257e-07,3.4660265769170243e-06,0.005846528996043875,0.0,0.0034118160336404795,0.005846549260338994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004422821760283061,0.0005017561465127947,1.7230282774816969e-06,8.018742940019803e-05,0.0237741456166419,0.006314127861089187,0.030484328059709125,0.01844835365880009,0.00034034175272016276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04564989830046893,0.03549068124244866,0.006269632532237284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dictionary
192.168.137.163-47.254.83.84-53344-7788-17,192.168.137.163,0.8181469609361819,47.254.83.84,0.12293412890088555,1.0,17/10/2022 10:48:11 AM,0.002189762753724994,0.0,0.002008032128514056,6.281536503088258e-05,1.7037044924557834e-05,0.006314127861089187,0.0950965824665676,0.03549068124244871,0.0,0.003734827264239029,0.03131115459882583,0.0062696325322372775,0.0,8.078037314009375e-07,3.941220745426906e-06,0.0051452357771039235,0.0,0.0030025674948439204,0.00514525605569383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004422821760283061,0.0005017561465127947,1.9606253616875213e-06,9.111689505314491e-05,0.0237741456166419,0.006314127861089187,0.030484328059709125,0.01844835365880009,0.00034034175272016276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04564989830046893,0.03549068124244866,0.006269632532237284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dictionary
